"goal"	"icon_url_sq"	"hex"	"rgb"	"level"
1	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG01.png"	"#e5243b"	"229, 36, 59"	3
2	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG02.png"	"#e5b735"	"229, 183, 53"	3
3	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG03.png"	"#4c9f38"	"76, 159, 56"	3
4	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG04.png"	"#c5192d"	"197, 25, 45"	3
5	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG05.png"	"#ff3a21"	"255, 58, 33"	3
6	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG06.png"	"#26bde2"	"38, 189, 226"	3
7	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG07.png"	"#fcc30b"	"252, 195, 11"	3
8	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG08.png"	"#a21942"	"162, 25, 66"	3
9	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG09.png"	"#fd6925"	"253, 105, 37"	3
10	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG10.png"	"#dd1367"	"221, 19, 103"	3
11	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG11.png"	"#fd9d24"	"253, 157, 36"	3
12	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG12.png"	"#c9992d"	"201, 153, 45"	3
13	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG13.png"	"#3f7e44"	"63, 126, 68"	3
14	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG14.png"	"#0a97d9"	"10, 151, 217"	3
15	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG15.png"	"#56c02b"	"86, 192, 43"	3
16	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG16.png"	"#00689d"	"0, 104, 157"	3
17	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG17.png"	"#19486a"	"25, 72, 106"	3
