"goal"	"hex"	"rgb"	"iconUrl"
1	"e5243b"	"229, 36, 59"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG01.png"
2	"e5b735"	"229, 183, 53"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG02.png"
3	"4c9f38"	"76, 159, 56"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG03.png"
4	"c5192d"	"197, 25, 45"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG04.png"
5	"ff3a21"	"255, 58, 33"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG05.png"
6	"26bde2"	"38, 189, 226"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG06.png"
7	"fcc30b"	"252, 195, 11"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG07.png"
8	"a21942"	"162, 25, 66"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG08.png"
9	"fd6925"	"253, 105, 37"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG09.png"
10	"dd1367"	"221, 19, 103"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG10.png"
11	"fd9d24"	"253, 157, 36"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG11.png"
12	"c9992d"	"201, 153, 45"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG12.png"
13	"3f7e44"	"63, 126, 68"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG13.png"
14	"0a97d9"	"10, 151, 217"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG14.png"
15	"56c02b"	"86, 192, 43"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG15.png"
16	"00689d"	"0, 104, 157"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG16.png"
17	"19486a"	"25, 72, 106"	"https://raw.githubusercontent.com/UNStats/FIS4SDGs/master/icons/SDG17.png"
